physical_corridor,train_number,day,departure_seconds,arrival_seconds,day_of_week,slot_in_day,slot
CORR_BDI|BSL,08060,2,55200.0,55980.0,2,3,11
CORR_BDI|TRW,08060,2,55980.0,56220.0,2,3,11
CORR_JL|TRW,08060,2,56220.0,56640.0,2,3,11
CORR_KYN|THK,08060,2,80100.0,80460.0,2,2,10
CORR_DI|THK,08060,2,80460.0,80580.0,2,2,10
CORR_BDI|BSL,11072,2,53400.0,54480.0,2,3,11
CORR_BDI|TRW,11072,2,54480.0,54780.0,2,3,11
CORR_JL|TRW,11072,2,54780.0,55380.0,2,3,11
CORR_KYN|THK,11072,2,79200.0,79440.0,2,2,10
CORR_DI|THK,11072,2,79440.0,79560.0,2,2,10
CORR_JL|TRW,12101,2,11640.0,12060.0,2,1,9
CORR_BDI|TRW,12101,2,12060.0,12300.0,2,1,9
CORR_BDI|BSL,12101,2,12300.0,12900.0,2,1,9
CORR_JL|TRW,12809,2,12900.0,13380.0,2,1,9
CORR_BDI|TRW,12809,2,13380.0,13620.0,2,1,9
CORR_BDI|BSL,12809,2,13620.0,14400.0,2,1,9
CORR_JL|TRW,12949,2,9600.0,10740.0,2,1,9
CORR_BDI|TRW,12949,2,10740.0,11340.0,2,1,9
CORR_BDI|BSL,12949,2,11340.0,13200.0,2,1,9
CORR_BDI|BSL,12172,2,60900.0,61500.0,2,3,11
CORR_BDI|TRW,12172,2,61500.0,61680.0,2,3,11
CORR_JL|TRW,12172,2,61680.0,61980.0,2,3,11
CORR_KYN|THK,12172,2,82800.0,83040.0,2,2,10
CORR_DI|THK,12172,2,83040.0,83160.0,2,2,10
CORR_GZB|SBB,59386-Slip,2,74160.0,75600.0,2,3,11
CORR_JL|TRW,22845,1,71160.0,71520.0,1,3,7
CORR_BDI|TRW,22845,1,71520.0,71760.0,1,3,7
CORR_BDI|BSL,22845,1,71760.0,72300.0,1,3,7
CORR_BDI|BSL,12994,2,75300.0,76440.0,2,3,11
CORR_BDI|TRW,12994,2,76440.0,76800.0,2,3,11
CORR_JL|TRW,12994,2,76800.0,77400.0,2,3,11
CORR_JL|TRW,19049,2,13980.0,14580.0,2,1,9
CORR_BDI|TRW,19049,2,14580.0,14940.0,2,3,11
CORR_BDI|BSL,19049,2,14940.0,15900.0,2,3,11
CORR_GZB|SBB,14015,2,14520.0,15480.0,2,3,11
CORR_JL|TRW,01101,2,1980.0,2340.0,2,0,8
CORR_BDI|TRW,01101,2,2340.0,2520.0,2,0,8
CORR_BDI|BSL,01101,2,2520.0,3000.0,2,0,8
CORR_JL|TRW,11077,2,5400.0,5940.0,2,0,8
CORR_BDI|TRW,11077,2,5940.0,6300.0,2,0,8
CORR_BDI|BSL,11077,2,6300.0,7200.0,2,0,8
CORR_BDI|BSL,11066,2,69000.0,69780.0,2,3,11
CORR_BDI|TRW,11066,2,69780.0,70020.0,2,3,11
CORR_JL|TRW,11066,2,70020.0,70440.0,2,3,11
CORR_JL|TRW,12655,1,61200.0,61680.0,1,3,7
CORR_BDI|TRW,12655,1,61680.0,61920.0,1,3,7
CORR_BDI|BSL,12655,1,61920.0,62700.0,1,3,7
CORR_JL|TRW,59025,1,63900.0,64320.0,1,3,7
CORR_BDI|TRW,59025,1,64320.0,64620.0,1,3,7
CORR_BDI|BSL,59025,1,64620.0,65400.0,1,3,7
CORR_KYN|THK,12220,2,38220.0,38400.0,2,3,11
CORR_DI|THK,12220,2,38400.0,38460.0,2,3,11
CORR_BDI|BSL,51196,2,14100.0,14820.0,2,1,9
CORR_BDI|TRW,51196,2,14820.0,15060.0,2,3,11
CORR_JL|TRW,51196,2,15060.0,15480.0,2,3,11
CORR_KYN|THK,51196,2,38700.0,38940.0,2,3,11
CORR_DI|THK,51196,2,38940.0,39060.0,2,3,11
CORR_JL|TRW,09051,2,13500.0,14220.0,2,1,9
CORR_BDI|TRW,09051,2,14220.0,14640.0,2,1,9
CORR_BDI|BSL,09051,2,14640.0,15900.0,2,3,11
CORR_BDI|BSL,12142,2,28500.0,29100.0,2,3,11
CORR_BDI|TRW,12142,2,29100.0,29280.0,2,3,11
CORR_JL|TRW,12142,2,29280.0,29640.0,2,3,11
CORR_KYN|THK,12142,2,51600.0,51840.0,2,3,11
CORR_DI|THK,12142,2,51840.0,51960.0,2,3,11
CORR_JL|TRW,12779,2,43380.0,44160.0,2,3,11
CORR_BDI|TRW,12779,2,44160.0,44580.0,2,3,11
CORR_BDI|BSL,12779,2,44580.0,45900.0,2,3,11
CORR_KYN|THK,16332,2,70800.0,70980.0,2,3,11
CORR_DI|THK,16332,2,70980.0,71100.0,2,3,11
CORR_KYN|THK,16340,2,70800.0,70980.0,2,3,11
CORR_DI|THK,16340,2,70980.0,71100.0,2,3,11
CORR_BDI|BSL,01102,2,15600.0,16200.0,2,3,11
CORR_BDI|TRW,01102,2,16200.0,16440.0,2,3,11
CORR_JL|TRW,01102,2,16440.0,16800.0,2,3,11
CORR_KYN|THK,01102,2,39600.0,39960.0,2,3,11
CORR_DI|THK,01102,2,39960.0,40140.0,2,3,11
CORR_BDI|BSL,12187,2,15900.0,16680.0,2,3,11
CORR_BDI|TRW,12187,2,16680.0,16980.0,2,3,11
CORR_JL|TRW,12187,2,16980.0,17400.0,2,3,11
CORR_KYN|THK,12187,2,39600.0,39840.0,2,3,11
CORR_DI|THK,12187,2,39840.0,39960.0,2,3,11
CORR_GZB|SBB,12236,1,35220.0,35640.0,1,3,7
CORR_JL|TRW,18402,2,14400.0,14940.0,2,3,11
